Source - https://github.com/DurtyFree/gta-v-data-dumps

Unsigned Hash: 3078201489 | Signed Hash: -1216765807 | Model Name: adder | Display Name: Adder
Unsigned Hash: 1283517198 | Signed Hash: 1283517198 | Model Name: Airbus | Display Name: Airport Bus
Unsigned Hash: 1560980623 | Signed Hash: 1560980623 | Model Name: Airtug | Display Name: Airtug
Unsigned Hash: 1181327175 | Signed Hash: 1181327175 | Model Name: akula | Display Name: Akula
Unsigned Hash: 1672195559 | Signed Hash: 1672195559 | Model Name: akuma | Display Name: Akuma
Unsigned Hash: 4256087847 | Signed Hash: -38879449 | Model Name: aleutian | Display Name: Aleutian
Unsigned Hash: 3929093893 | Signed Hash: -365873403 | Model Name: alkonost | Display Name: RO-86 Alkonost
Unsigned Hash: 767087018 | Signed Hash: 767087018 | Model Name: alpha | Display Name: Alpha
Unsigned Hash: 2771347558 | Signed Hash: -1523619738 | Model Name: alphaz1 | Display Name: Alpha-Z1
Unsigned Hash: 1171614426 | Signed Hash: 1171614426 | Model Name: AMBULANCE | Display Name: Ambulance
Unsigned Hash: 837858166 | Signed Hash: 837858166 | Model Name: annihilator | Display Name: Annihilator
Unsigned Hash: 295054921 | Signed Hash: 295054921 | Model Name: annihilator2 | Display Name: Annihilator Stealth
Unsigned Hash: 562680400 | Signed Hash: 562680400 | Model Name: apc | Display Name: APC
Unsigned Hash: 1549009676 | Signed Hash: 1549009676 | Model Name: arbitergt | Display Name: Arbiter GT
Unsigned Hash: 159274291 | Signed Hash: 159274291 | Model Name: ardent | Display Name: Ardent
Unsigned Hash: 3087536137 | Signed Hash: -1207431159 | Model Name: armytanker | Display Name: Army Trailer
Unsigned Hash: 2818520053 | Signed Hash: -1476447243 | Model Name: armytrailer | Display Name: Army Trailer
Unsigned Hash: 2657817814 | Signed Hash: -1637149482 | Model Name: armytrailer2 | Display Name: Army Trailer
Unsigned Hash: 1118611807 | Signed Hash: 1118611807 | Model Name: asbo | Display Name: Asbo
Unsigned Hash: 2485144969 | Signed Hash: -1809822327 | Model Name: asea | Display Name: Asea
Unsigned Hash: 2487343317 | Signed Hash: -1807623979 | Model Name: asea2 | Display Name: Asea
Unsigned Hash: 2391954683 | Signed Hash: -1903012613 | Model Name: asterope | Display Name: Asterope
Unsigned Hash: 3553846961 | Signed Hash: -741120335 | Model Name: asterope2 | Display Name: Asterope GZ
Unsigned Hash: 629969764 | Signed Hash: 629969764 | Model Name: astron | Display Name: Astron
Unsigned Hash: 2803699023 | Signed Hash: -1491268273 | Model Name: astron2 | Display Name: Astron Custom
Unsigned Hash: 3981782132 | Signed Hash: -313185164 | Model Name: autarch | Display Name: Autarch
Unsigned Hash: 2179174271 | Signed Hash: -2115793025 | Model Name: avarus | Display Name: Avarus
Unsigned Hash: 2176659152 | Signed Hash: -2118308144 | Model Name: avenger | Display Name: Avenger
Unsigned Hash: 408970549 | Signed Hash: 408970549 | Model Name: avenger2 | Display Name: Avenger
Unsigned Hash: 3868033424 | Signed Hash: -426933872 | Model Name: avenger3 | Display Name: Avenger
Unsigned Hash: 4225674290 | Signed Hash: -69293006 | Model Name: avenger4 | Display Name: Avenger
Unsigned Hash: 2588363614 | Signed Hash: -1706603682 | Model Name: avisa | Display Name: Avisa
Unsigned Hash: 2154536131 | Signed Hash: -2140431165 | Model Name: bagger | Display Name: Bagger
Unsigned Hash: 3895125590 | Signed Hash: -399841706 | Model Name: baletrailer | Display Name: Baletrailer
